1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
44, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
45, structory:old_manor, HEADING, header:ignore, 0, 0, 0
46, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
47, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
48, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
49, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
50, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
51, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
52, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
53, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
54, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
55, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
56, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
57, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
58, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
59, structory:graveyard, HEADING, header:ignore, 0, 0, 0
60, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
61, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
62, structory:ruin_grassy, HEADING, header:ignore, 0, 0, 0
63, structory:firetower, HEADING, header:ignore, 0, 0, 0
64, structory:outcast_villager_desert, HEADING, header:ignore, 0, 0, 0
65, structory:boat, HEADING, header:ignore, 0, 0, 0
66, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
67, wythers:elephant_graveyard_fossil, HEADING, header:ignore, 0, 0, 0
68, wythers:baobab_tropical_forest, HEADING, header:ignore, 0, 0, 0
69, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
70, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
71, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 0, 0
72, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
73, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
74, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
75, wythers:el_dorado, HEADING, header:ignore, 0, 0, 0
76, wythers:giant_fallen_log, HEADING, header:ignore, 0, 0, 0
77, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
78, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
79, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
80, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
81, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
82, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
83, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
84, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
85, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
86, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
87, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
88, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
89, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
90, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
91, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
92, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
93, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
94, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
95, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
96, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
97, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
98, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
99, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
100, wythers:baobab_dry_tropical_forest, HEADING, header:ignore, 0, 0, 0
101, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
102, wythers:baobab_savanna, HEADING, header:ignore, 0, 0, 0
103, wythers:baobab_savanna, CREATURE, minecraft:parrot, 40, 3, 5
104, wythers:village_badlands_desert, HEADING, header:ignore, 0, 0, 0
105, wythers:village_badlands, HEADING, header:ignore, 0, 0, 0
106, wythers:village_wooded_badlands, HEADING, header:ignore, 0, 0, 0
107, wythers:banyan_sparse_jungle, HEADING, header:ignore, 0, 0, 0
108, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
109, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
110, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
111, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
112, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
